Day_of_Week_and_Hour,cluster,Lat,Lon,Day_of_Month,Week_Number,Hour,nb_pickups
Wednesday_2_hrs,1,40.725625,-73.994125,14.25,15.75,2.0,4
Wednesday_4_hrs,13,40.783125,-73.972175,9.0,15.0,4.0,4
Wednesday_4_hrs,20,40.66566666666667,-73.95466666666667,11.333333333333334,15.333333333333334,4.0,3
Wednesday_5_hrs,16,40.683,-73.98185,16.0,16.0,5.0,4
Wednesday_5_hrs,4,40.621849999999995,-73.9899,5.5,14.5,5.0,2
Wednesday_5_hrs,7,40.720150000000004,-73.95185000000001,12.5,15.5,5.0,2
Wednesday_5_hrs,19,40.70773333333333,-73.99856666666666,9.0,15.0,5.0,3
Wednesday_5_hrs,9,40.74134,-73.9976,20.2,16.6,5.0,5
Wednesday_5_hrs,1,40.72956,-73.98672,24.4,17.2,5.0,5
Wednesday_5_hrs,2,40.6475,-73.7808,11.333333333333334,15.333333333333334,5.0,3
Wednesday_5_hrs,13,40.7827,-73.97041428571428,25.0,17.285714285714285,5.0,7
Wednesday_6_hrs,1,40.725633333333334,-73.99025555555555,19.11111111111111,16.444444444444443,6.0,9
Wednesday_6_hrs,19,40.7142,-74.00153333333334,4.333333333333333,14.333333333333334,6.0,3
Wednesday_6_hrs,10,40.7708,-73.98559999999999,11.333333333333334,15.333333333333334,6.0,3
Wednesday_6_hrs,7,40.716566666666665,-73.9491,13.666666666666666,15.666666666666666,6.0,6
Wednesday_6_hrs,13,40.782025,-73.96351875,17.3125,16.1875,6.0,16
Wednesday_6_hrs,20,40.678650000000005,-73.95155,16.0,16.0,6.0,2
Wednesday_7_hrs,16,40.694199999999995,-73.9973,16.0,16.0,7.0,2
Wednesday_7_hrs,10,40.767725,-73.98920833333334,17.75,16.25,7.0,12
Wednesday_7_hrs,7,40.72516666666667,-73.95266666666667,6.666666666666667,14.666666666666666,7.0,3
Wednesday_7_hrs,13,40.777496,-73.961408,16.28,16.04,7.0,25
Wednesday_7_hrs,19,40.710049999999995,-74.00970000000001,12.5,15.5,7.0,2
Wednesday_7_hrs,1,40.7252,-73.98836111111112,17.944444444444443,16.27777777777778,7.0,18
Wednesday_7_hrs,9,40.742504545454544,-73.99185909090909,18.863636363636363,16.40909090909091,7.0,22
Wednesday_8_hrs,19,40.714775,-74.00347500000001,16.0,16.0,8.0,4
Wednesday_8_hrs,1,40.72556875,-73.98916875,16.4375,16.0625,8.0,16
Wednesday_8_hrs,9,40.74252,-73.99638666666667,17.4,16.2,8.0,15
Wednesday_8_hrs,13,40.774409090909096,-73.95876818181817,16.954545454545453,16.136363636363637,8.0,22
Wednesday_8_hrs,0,40.75415,-73.97439166666666,16.0,16.0,8.0,12
Wednesday_8_hrs,16,40.684171428571425,-73.98481428571428,20.0,16.571428571428573,8.0,7
Wednesday_8_hrs,20,40.684133333333335,-73.95096666666667,11.333333333333334,15.333333333333334,8.0,3
Wednesday_8_hrs,10,40.76647777777778,-73.98867777777778,17.555555555555557,16.22222222222222,8.0,9
Wednesday_9_hrs,13,40.77936,-73.96378999999999,23.0,17.0,9.0,10
Wednesday_9_hrs,19,40.7158,-74.0058,12.5,15.5,9.0,2
Wednesday_9_hrs,7,40.71095,-73.9574,12.5,15.5,9.0,4
Wednesday_9_hrs,0,40.753125,-73.976925,16.875,16.125,9.0,8
Wednesday_9_hrs,10,40.76558571428571,-73.98411428571428,17.0,16.142857142857142,9.0,7
Wednesday_9_hrs,1,40.72662857142857,-73.98734285714285,24.0,17.142857142857142,9.0,7
Wednesday_10_hrs,16,40.68016666666667,-73.99233333333333,9.0,15.0,10.0,3
Wednesday_10_hrs,1,40.724419999999995,-73.99637,16.7,16.1,10.0,10
Wednesday_10_hrs,7,40.717666666666666,-73.94080000000001,11.333333333333334,15.333333333333334,10.0,3
Wednesday_10_hrs,13,40.77777692307692,-73.96584615384616,14.384615384615385,15.76923076923077,10.0,13
Wednesday_10_hrs,9,40.7408375,-73.9974,16.0,16.0,10.0,8
Wednesday_10_hrs,10,40.7726,-73.988675,18.625,16.375,10.0,8
Wednesday_10_hrs,0,40.7554052631579,-73.97279999999999,21.157894736842106,16.736842105263158,10.0,19
Wednesday_10_hrs,19,40.7137125,-74.01165,20.375,16.625,10.0,8
Wednesday_11_hrs,1,40.72418125,-73.9963,20.8125,16.6875,11.0,16
Wednesday_11_hrs,19,40.710775,-74.01115,17.75,16.25,11.0,4
Wednesday_11_hrs,9,40.74471,-73.99782,18.8,16.4,11.0,20
Wednesday_11_hrs,10,40.76666,-73.98584000000001,17.4,16.2,11.0,5
Wednesday_11_hrs,0,40.75661052631579,-73.97331052631579,18.57894736842105,16.36842105263158,11.0,19
Wednesday_11_hrs,5,40.7319,-74.15979999999999,12.5,15.5,11.0,2
Wednesday_12_hrs,7,40.719233333333335,-73.95496666666666,20.666666666666668,16.666666666666668,12.0,3
Wednesday_12_hrs,10,40.762060000000005,-73.9834,24.4,17.2,12.0,5
Wednesday_12_hrs,13,40.7745875,-73.9613875,18.625,16.375,12.0,8
Wednesday_12_hrs,0,40.75416153846153,-73.97630000000001,22.46153846153846,16.923076923076923,12.0,13
Wednesday_12_hrs,19,40.707425,-74.00562500000001,23.0,17.0,12.0,4
Wednesday_13_hrs,1,40.725614285714286,-73.99700714285714,18.5,16.357142857142858,13.0,14
Wednesday_13_hrs,0,40.75460625,-73.97395,18.1875,16.3125,13.0,16
Wednesday_13_hrs,2,40.6445,-73.7803,6.666666666666667,14.666666666666666,13.0,3
Wednesday_13_hrs,19,40.70855,-74.0141,12.5,15.5,13.0,4
Wednesday_13_hrs,9,40.74304545454545,-73.99441818181818,19.5,16.5,13.0,22
Wednesday_13_hrs,16,40.664366666666666,-73.98129999999999,16.0,16.0,13.0,3
Wednesday_13_hrs,13,40.77900714285714,-73.95736428571429,24.0,17.142857142857142,13.0,14
